Department,EmployeeNumber,MonthlyIncome,HighestDepartmentSalary,SalaryDifference
"Research & Development",262,2089,19999,17910
"Research & Development",264,16792,19999,3207
"Research & Development",267,3564,19999,16435
"Research & Development",269,4425,19999,15574
"Research & Development",270,5265,19999,14734
"Research & Development",271,6553,19999,13446
"Research & Development",273,6261,19999,13738
"Research & Development",274,4298,19999,15701
"Research & Development",275,6804,19999,13195
"Research & Development",277,3815,19999,16184
"Research & Development",281,2741,19999,17258
"Research & Development",282,6673,19999,13326
"Research & Development",1736,5238,19999,14761
"Research & Development",284,2328,19999,17671
"Research & Development",286,2153,19999,17846
"Research & Development",287,4876,19999,15123
"Research & Development",288,9396,19999,10603
"Research & Development",1737,6472,19999,13527
"Research & Development",292,8474,19999,11525
"Research & Development",1745,4968,19999,15031
"Research & Development",296,12490,19999,7509
"Research & Development",297,2657,19999,17342
"Research & Development",1751,3445,19999,16554
"Research & Development",1753,6294,19999,13705
"Research & Development",300,2058,19999,17941
"Research & Development",1755,2932,19999,17067
"Research & Development",1760,2468,19999,17531
"Research & Development",304,5914,19999,14085
"Research & Development",305,2622,19999,17377
"Research & Development",306,12185,19999,7814
"Research & Development",1762,2109,19999,17890
"Research & Development",308,4345,19999,15654
"Research & Development",309,2177,19999,17822
"Research & Development",1763,5294,19999,14705
"Research & Development",1764,2718,19999,17281
"Research & Development",1766,5811,19999,14188
"Research & Development",315,2389,19999,17610
"Research & Development",316,3212,19999,16787
"Research & Development",319,19232,19999,767
"Research & Development",1767,2437,19999,17562
"Research & Development",325,2436,19999,17563
"Research & Development",1768,2766,19999,17233
"Research & Development",328,2707,19999,17292
"Research & Development",1770,19038,19999,961
"Research & Development",1771,3055,19999,16944
"Research & Development",331,3730,19999,16269
"Research & Development",332,2232,19999,17767
"Research & Development",1772,2289,19999,17710
"Research & Development",334,3072,19999,16927
"Research & Development",335,3319,19999,16680
"Research & Development",336,19202,19999,797
"Research & Development",337,13675,19999,6324
"Research & Development",338,2911,19999,17088
"Research & Development",339,5957,19999,14042
"Research & Development",340,3920,19999,16079
"Research & Development",341,6434,19999,13565
"Research & Development",342,10048,19999,9951
"Research & Development",343,10938,19999,9061
"Research & Development",346,2340,19999,17659
"Research & Development",347,6545,19999,13454
"Research & Development",1775,12965,19999,7034
"Research & Development",350,4898,19999,15101
"Research & Development",351,2593,19999,17406
"Research & Development",352,19436,19999,563
"Research & Development",353,2723,19999,17276
"Research & Development",355,3479,19999,16520
"Research & Development",359,2794,19999,17205
"Research & Development",1782,3702,19999,16297
"Research & Development",362,2176,19999,17823
"Research & Development",1783,2398,19999,17601
"Research & Development",364,3485,19999,16514
"Research & Development",1786,13116,19999,6883
"Research & Development",367,5582,19999,14417
"Research & Development",369,4000,19999,15999
"Research & Development",372,13496,19999,6503
"Research & Development",373,3210,19999,16789
"Research & Development",374,19045,19999,954
"Research & Development",376,11849,19999,8150
"Research & Development",377,2070,19999,17929
"Research & Development",1789,19328,19999,671
"Research & Development",379,3230,19999,16769
"Research & Development",380,13603,19999,6396
"Research & Development",381,11996,19999,8003
"Research & Development",1790,8321,19999,11678
"Research & Development",384,6397,19999,13602
"Research & Development",385,19144,19999,855
"Research & Development",386,17584,19999,2415
"Research & Development",1792,2342,19999,17657
"Research & Development",1798,3143,19999,16856
"Research & Development",389,5415,19999,14584
"Research & Development",390,4741,19999,15258
"Research & Development",391,2115,19999,17884
"Research & Development",392,3161,19999,16838
"Research & Development",393,5745,19999,14254
"Research & Development",394,2373,19999,17626
"Research & Development",395,3310,19999,16689
"Research & Development",396,18665,19999,1334
"Research & Development",397,4485,19999,15514
"Research & Development",1799,2044,19999,17955
"Research & Development",1800,13464,19999,6535
"Research & Development",403,2326,19999,17673
"Research & Development",1803,5538,19999,14461
"Research & Development",405,1420,19999,18579
"Research & Development",1804,5762,19999,14237
"Research & Development",407,3688,19999,16311
"Research & Development",408,5482,19999,14517
"Research & Development",1807,5346,19999,14653
"Research & Development",1809,4213,19999,15786
"Research & Development",412,5661,19999,14338
"Research & Development",1813,2438,19999,17561
"Research & Development",417,9613,19999,10386
"Research & Development",419,5674,19999,14325
"Research & Development",1814,6870,19999,13129
"Research & Development",421,12061,19999,7938
"Research & Development",422,5660,19999,14339
"Research & Development",423,4821,19999,15178
"Research & Development",425,5210,19999,14789
"Research & Development",426,2695,19999,17304
"Research & Development",428,11878,19999,8121
"Research & Development",429,17068,19999,2931
"Research & Development",430,2455,19999,17544
"Research & Development",431,13964,19999,6035
"Research & Development",433,4941,19999,15058
"Research & Development",434,2478,19999,17521
"Research & Development",1816,9667,19999,10332
"Research & Development",1821,8926,19999,11073
"Research & Development",1822,6513,19999,13486
"Research & Development",439,5055,19999,14944
"Research & Development",440,3464,19999,16535
"Research & Development",441,5775,19999,14224
"Research & Development",442,8943,19999,11056
"Research & Development",444,19272,19999,727
"Research & Development",1826,2705,19999,17294
"Research & Development",1827,10333,19999,9666
"Research & Development",447,18300,19999,1699
"Research & Development",448,5257,19999,14742
"Research & Development",1829,4448,19999,15551
"Research & Development",450,4869,19999,15130
"Research & Development",451,9985,19999,10014
"Research & Development",452,3697,19999,16302
"Research & Development",1830,6854,19999,13145
"Research & Development",454,2119,19999,17880
"Research & Development",455,3983,19999,16016
"Research & Development",1834,3591,19999,16408
"Research & Development",1837,15787,19999,4212
"Research & Development",460,6347,19999,13652
"Research & Development",461,11510,19999,8489
"Research & Development",462,7143,19999,12856
"Research & Development",1839,1514,19999,18485
"Research & Development",464,8095,19999,11904
"Research & Development",465,2904,19999,17095
"Research & Development",466,6032,19999,13967
"Research & Development",1847,6962,19999,13037
"Research & Development",468,15992,19999,4007
"Research & Development",1850,2379,19999,17620
"Research & Development",471,2370,19999,17629
"Research & Development",1852,3812,19999,16187
"Research & Development",474,5974,19999,14025
"Research & Development",1854,2936,19999,17063
"Research & Development",1856,2105,19999,17894
"Research & Development",477,6781,19999,13218
"Research & Development",1857,8578,19999,11421
"Research & Development",1859,6384,19999,13615
"Research & Development",1860,3968,19999,16031
"Research & Development",482,6755,19999,13244
"Research & Development",483,2213,19999,17786
"Research & Development",1866,19392,19999,607
"Research & Development",1867,19665,19999,334
"Research & Development",486,3452,19999,16547
"Research & Development",487,5258,19999,14741
"Research & Development",1868,2439,19999,17560
"Research & Development",491,10496,19999,9503
"Research & Development",1870,4774,19999,15225
"Research & Development",493,2657,19999,17342
"Research & Development",1871,3902,19999,16097
"Research & Development",495,2201,19999,17798
"Research & Development",496,6540,19999,13459
"Research & Development",497,3816,19999,16183
"Research & Development",1873,2662,19999,17337
"Research & Development",499,10965,19999,9034
"Research & Development",1878,2472,19999,17527
"Research & Development",501,2543,19999,17456
"Research & Development",1881,4197,19999,15802
"Research & Development",505,16659,19999,3340
"Research & Development",1883,2062,19999,17937
"Research & Development",1885,4284,19999,15715
"Research & Development",510,3102,19999,16897
"Research & Development",511,2244,19999,17755
"Research & Development",1886,4788,19999,15211
"Research & Development",514,2285,19999,17714
"Research & Development",515,3034,19999,16965
"Research & Development",1888,5906,19999,14093
"Research & Development",517,2576,19999,17423
"Research & Development",518,4197,19999,15802
"Research & Development",520,14336,19999,5663
"Research & Development",521,3448,19999,16551
"Research & Development",522,19406,19999,593
"Research & Development",1892,16823,19999,3176
"Research & Development",524,4306,19999,15693
"Research & Development",525,2258,19999,17741
"Research & Development",526,4522,19999,15477
"Research & Development",1893,2933,19999,17066
"Research & Development",529,4449,19999,15550
"Research & Development",530,2218,19999,17781
"Research & Development",531,19197,19999,802
"Research & Development",1900,17174,19999,2825
"Research & Development",1903,5033,19999,14966
"Research & Development",1905,2307,19999,17692
"Research & Development",536,4558,19999,15441
"Research & Development",538,4031,19999,15968
"Research & Development",543,7969,19999,12030
"Research & Development",544,2654,19999,17345
"Research & Development",546,16555,19999,3444
"Research & Development",547,4556,19999,15443
"Research & Development",548,6091,19999,13908
"Research & Development",549,19566,19999,433
"Research & Development",550,4810,19999,15189
"Research & Development",551,4523,19999,15476
"Research & Development",1907,2587,19999,17412
"Research & Development",1911,13348,19999,6651
"Research & Development",556,1702,19999,18297
"Research & Development",1916,3978,19999,16021
"Research & Development",560,2886,19999,17113
"Research & Development",562,2097,19999,17902
"Research & Development",564,11935,19999,8064
"Research & Development",565,2546,19999,17453
"Research & Development",1918,2544,19999,17455
"Research & Development",1922,5399,19999,14600
"Research & Development",569,17046,19999,2953
"Research & Development",571,2564,19999,17435
"Research & Development",1931,2226,19999,17773
"Research & Development",574,5070,19999,14929
"Research & Development",575,17861,19999,2138
"Research & Development",577,4230,19999,15769
"Research & Development",578,3780,19999,16219
"Research & Development",579,2768,19999,17231
"Research & Development",1932,5747,19999,14252
"Research & Development",581,10648,19999,9351
"Research & Development",582,13610,19999,6389
"Research & Development",584,3408,19999,16591
"Research & Development",1934,5467,19999,14532
"Research & Development",586,7632,19999,12367
"Research & Development",587,9824,19999,10175
"Research & Development",591,2093,19999,17906
"Research & Development",1936,5151,19999,14848
"Research & Development",593,3894,19999,16105
"Research & Development",1937,2133,19999,17866
"Research & Development",1939,2432,19999,17567
"Research & Development",1940,4771,19999,15228
"Research & Development",1941,19161,19999,838
"Research & Development",601,13237,19999,6762
"Research & Development",602,3755,19999,16244
"Research & Development",1947,2144,19999,17855
"Research & Development",605,7406,19999,12593
"Research & Development",1948,3065,19999,16934
"Research & Development",611,4262,19999,15737
"Research & Development",612,16184,19999,3815
"Research & Development",1949,2810,19999,17189
"Research & Development",1952,2867,19999,17132
"Research & Development",1954,5373,19999,14626
"Research & Development",616,6811,19999,13188
"Research & Development",1955,6667,19999,13332
"Research & Development",1956,5003,19999,14996
"Research & Development",1960,2367,19999,17632
"Research & Development",622,2340,19999,17659
"Research & Development",623,7491,19999,12508
"Research & Development",624,10527,19999,9472
"Research & Development",1966,9679,19999,10320
"Research & Development",1969,2897,19999,17102
"Research & Development",630,5577,19999,14422
"Research & Development",1970,5968,19999,14031
"Research & Development",1971,7510,19999,12489
"Research & Development",634,9824,19999,10175
"Research & Development",635,6447,19999,13552
"Research & Development",638,19502,19999,497
"Research & Development",639,2725,19999,17274
"Research & Development",1974,1129,19999,18870
"Research & Development",643,2127,19999,17872
"Research & Development",1976,4332,19999,15667
"Research & Development",647,2886,19999,17113
"Research & Development",1979,11031,19999,8968
"Research & Development",649,3622,19999,16377
"Research & Development",1980,4440,19999,15559
"Research & Development",652,3681,19999,16318
"Research & Development",1981,4617,19999,15382
"Research & Development",655,2187,19999,17812
"Research & Development",1982,2647,19999,17352
"Research & Development",657,2836,19999,17163
"Research & Development",659,4089,19999,15910
"Research & Development",661,16627,19999,3372
"Research & Development",662,2619,19999,17380
"Research & Development",663,5679,19999,14320
"Research & Development",664,15402,19999,4597
"Research & Development",1985,6323,19999,13676
"Research & Development",1989,3748,19999,16251
"Research & Development",1992,3977,19999,16022
"Research & Development",671,19513,19999,486
"Research & Development",675,2773,19999,17226
"Research & Development",1993,8633,19999,11366
"Research & Development",679,6322,19999,13677
"Research & Development",680,2083,19999,17916
"Research & Development",1994,2008,19999,17991
"Research & Development",683,2691,19999,17308
"Research & Development",1997,5321,19999,14678
"Research & Development",686,2659,19999,17340
"Research & Development",689,9434,19999,10565
"Research & Development",1998,5410,19999,14589
"Research & Development",691,6646,19999,13353
"Research & Development",692,7725,19999,12274
"Research & Development",699,8847,19999,11152
"Research & Development",700,2045,19999,17954
"Research & Development",701,1009,19999,18990
"Research & Development",702,3348,19999,16651
"Research & Development",704,1281,19999,18718
"Research & Development",705,2819,19999,17180
"Research & Development",1999,2782,19999,17217
"Research & Development",2000,11957,19999,8042
"Research & Development",710,2720,19999,17279
"Research & Development",2003,2660,19999,17339
"Research & Development",2007,3375,19999,16624
"Research & Development",715,4680,19999,15319
"Research & Development",716,3221,19999,16778
"Research & Development",717,8621,19999,11378
"Research & Development",2008,5098,19999,14901
"Research & Development",721,4553,19999,15446
"Research & Development",2009,4878,19999,15121
"Research & Development",2010,2837,19999,17162
"Research & Development",724,7625,19999,12374
"Research & Development",725,7412,19999,12587
"Research & Development",727,11159,19999,8840
"Research & Development",2012,2406,19999,17593
"Research & Development",2014,4108,19999,15891
"Research & Development",730,14814,19999,5185
"Research & Development",2015,13206,19999,6793
"Research & Development",733,8793,19999,11206
"Research & Development",2017,13744,19999,6255
"Research & Development",741,2216,19999,17783
"Research & Development",742,11713,19999,8286
"Research & Development",743,7861,19999,12138
"Research & Development",744,3708,19999,16291
"Research & Development",2020,2436,19999,17563
"Research & Development",2022,19431,19999,568
"Research & Development",2025,5131,19999,14868
"Research & Development",752,2759,19999,17240
"Research & Development",2026,6306,19999,13693
"Research & Development",757,6142,19999,13857
"Research & Development",758,2500,19999,17499
"Research & Development",762,11103,19999,8896
"Research & Development",763,2342,19999,17657
"Research & Development",764,6811,19999,13188
"Research & Development",2027,4787,19999,15212
"Research & Development",769,2450,19999,17549
"Research & Development",771,5093,19999,14906
"Research & Development",772,5309,19999,14690
"Research & Development",773,3057,19999,16942
"Research & Development",775,5121,19999,14878
"Research & Development",2031,18880,19999,1119
"Research & Development",780,2686,19999,17313
"Research & Development",2032,2339,19999,17660
"Research & Development",2034,13570,19999,6429
"Research & Development",784,3505,19999,16494
"Research & Development",2038,2439,19999,17560
"Research & Development",2048,2809,19999,17190
"Research & Development",787,19859,19999,140
"Research & Development",2049,5689,19999,14310
"Research & Development",791,4258,19999,15741
"Research & Development",792,4364,19999,15635
"Research & Development",793,4335,19999,15664
"Research & Development",2051,2001,19999,17998
"Research & Development",797,3280,19999,16719
"Research & Development",799,5485,19999,14514
"Research & Development",2052,2977,19999,17022
"Research & Development",802,2782,19999,17217
"Research & Development",803,5980,19999,14019
"Research & Development",804,4381,19999,15618
"Research & Development",2053,4025,19999,15974
"Research & Development",806,3833,19999,16166
"Research & Development",807,4244,19999,15755
"Research & Development",2054,3785,19999,16214
"Research & Development",809,18430,19999,1569
"Research & Development",811,1601,19999,18398
"Research & Development",812,2694,19999,17305
"Research & Development",813,3149,19999,16850
"Research & Development",815,17639,19999,2360
"Research & Development",816,2319,19999,17680
"Research & Development",817,11691,19999,8308
"Research & Development",2057,9936,19999,10063
"Research & Development",820,16752,19999,3247
"Research & Development",823,5228,19999,14771
"Research & Development",824,2700,19999,17299
"Research & Development",825,19246,19999,753
"Research & Development",826,2506,19999,17493
"Research & Development",827,6062,19999,13937
"Research & Development",828,4382,19999,15617
"Research & Development",830,6162,19999,13837
"Research & Development",832,5094,19999,14905
"Research & Development",833,6877,19999,13122
"Research & Development",834,2274,19999,17725
"Research & Development",836,4434,19999,15565
"Research & Development",837,6288,19999,13711
"Research & Development",838,2553,19999,17446
"Research & Development",2061,2571,19999,17428
"Research & Development",2062,9991,19999,10008
"Research & Development",843,17159,19999,2840
"Research & Development",844,12808,19999,7191
"Research & Development",845,10221,19999,9778
"Research & Development",2064,6142,19999,13857
"Research & Development",848,2366,19999,17633
"Research & Development",850,1706,19999,18293
"Research & Development",852,5933,19999,14066
"Research & Development",854,3424,19999,16575
"Research & Development",856,2559,19999,17440
"Research & Development",861,3761,19999,16238
"Research & Development",865,5175,19999,14824
"Research & Development",867,13826,19999,6173
"Research & Development",872,4775,19999,15224
"Research & Development",874,2818,19999,17181
"Research & Development",875,2515,19999,17484
"Research & Development",880,10685,19999,9314
"Research & Development",881,2022,19999,17977
"Research & Development",882,2314,19999,17685
"Research & Development",887,3580,19999,16419
"Research & Development",888,3162,19999,16837
"Research & Development",894,5231,19999,14768
"Research & Development",895,2356,19999,17643
"Research & Development",899,10903,19999,9096
"Research & Development",901,14275,19999,5724
"Research & Development",902,5562,19999,14437
"Research & Development",905,17924,19999,2075
"Research & Development",911,2795,19999,17204
"Research & Development",912,2532,19999,17467
"Research & Development",913,2559,19999,17440
"Research & Development",918,2380,19999,17619
"Research & Development",920,4765,19999,15234
"Research & Development",923,2693,19999,17306
"Research & Development",924,6586,19999,13413
"Research & Development",926,4171,19999,15828
"Research & Development",927,2778,19999,17221
"Research & Development",930,2377,19999,17622
"Research & Development",932,2404,19999,17595
"Research & Development",933,2318,19999,17681
"Research & Development",934,2008,19999,17991
"Research & Development",939,2799,19999,17200
"Research & Development",940,10552,19999,9447
"Research & Development",942,4014,19999,15985
"Research & Development",944,7403,19999,12596
"Research & Development",945,2259,19999,17740
"Research & Development",949,4678,19999,15321
"Research & Development",950,13582,19999,6417
"Research & Development",951,2332,19999,17667
"Research & Development",957,4721,19999,15278
"Research & Development",958,2519,19999,17480
"Research & Development",960,2973,19999,17026
"Research & Development",961,5855,19999,14144
"Research & Development",964,3617,19999,16382
"Research & Development",966,6725,19999,13274
"Research & Development",969,6949,19999,13050
"Research & Development",972,4447,19999,15552
"Research & Development",976,17099,19999,2900
"Research & Development",977,2479,19999,17520
"Research & Development",987,5067,19999,14932
"Research & Development",991,2321,19999,17678
"Research & Development",994,2404,19999,17595
"Research & Development",995,3452,19999,16547
"Research & Development",996,2270,19999,17729
"Research & Development",997,17399,19999,2600
"Research & Development",998,5488,19999,14511
"Research & Development",999,19419,19999,580
"Research & Development",1001,2811,19999,17188
"Research & Development",1002,3633,19999,16366
"Research & Development",1004,2132,19999,17867
"Research & Development",1005,13973,19999,6026
"Research & Development",1006,2684,19999,17315
"Research & Development",1007,10845,19999,9154
"Research & Development",1009,4377,19999,15622
"Research & Development",1010,3743,19999,16256
"Research & Development",1011,4148,19999,15851
"Research & Development",1012,1051,19999,18948
"Research & Development",1013,10739,19999,9260
"Research & Development",1014,10388,19999,9611
"Research & Development",1015,11416,19999,8583
"Research & Development",1016,2600,19999,17399
"Research & Development",1017,2422,19999,17577
"Research & Development",1018,5472,19999,14527
"Research & Development",1019,2451,19999,17548
"Research & Development",2068,4404,19999,15595
"Research & Development",1024,10999,19999,9000
"Research & Development",1025,5003,19999,14996
"Research & Development",1026,12742,19999,7257
"Research & Development",1027,4227,19999,15772
"Research & Development",1028,3917,19999,16082
"Research & Development",1030,2380,19999,17619
"Research & Development",1032,13726,19999,6273
"Research & Development",1033,4777,19999,15222
"Research & Development",1034,6385,19999,13614
"Research & Development",1035,19973,19999,26
"Research & Development",1042,2743,19999,17256
"Research & Development",1043,10880,19999,9119
"Research & Development",1046,4025,19999,15974
"Research & Development",1052,4834,19999,15165
"Research & Development",1053,2042,19999,17957
"Research & Development",1060,2821,19999,17178
"Research & Development",1061,19237,19999,762
"Research & Development",1062,4107,19999,15892
"Research & Development",1068,2007,19999,17992
"Research & Development",1069,19627,19999,372
"Research & Development",1071,2942,19999,17057
"Research & Development",1073,8858,19999,11141
"Research & Development",1074,16756,19999,3243
"Research & Development",1079,1416,19999,18583
