EmployeeNumber,MonthlyIncome,DenseRank,RankValue,RowNumber
147,6074,536,553,553
827,6062,537,554,554
466,6032,538,555,555
1779,6029,539,556,556
1,5993,540,557,557
77,5993,540,557,558
665,5985,541,559,559
803,5980,542,560,560
474,5974,543,561,561
1970,5968,544,562,562
339,5957,545,563,563
303,5940,546,564,564
852,5933,547,565,565
261,5916,548,566,566
76,5915,549,567,567
304,5914,550,568,568
1888,5906,551,569,569
182,5902,552,570,570
1555,5878,553,571,571
1650,5869,554,572,572
961,5855,555,573,573
401,5828,556,574,574
1797,5813,557,575,575
1766,5811,558,576,576
1435,5810,559,577,577
441,5775,560,578,578
62,5772,561,579,579
1635,5770,562,580,580
1403,5769,563,581,581
1611,5769,563,581,582
1631,5768,564,583,583
1487,5765,565,584,584
1804,5762,566,585,585
1932,5747,567,586,586
393,5745,568,587,587
142,5744,569,588,588
1642,5743,570,589,589
1929,5736,571,590,590
1161,5731,572,591,591
516,5715,573,592,592
1163,5714,574,593,593
2049,5689,575,594,594
663,5679,576,595,595
1986,5677,577,596,596
1849,5675,578,597,597
419,5674,579,598,598
1880,5673,580,599,599
983,5666,581,600,600
412,5661,582,601,601
422,5660,583,602,602
1436,5647,584,603,603
1967,5617,585,604,604
202,5605,586,605,605
382,5605,586,605,606
1117,5593,587,607,607
367,5582,588,608,608
630,5577,589,609,609
902,5562,590,610,610
1594,5562,590,610,611
1727,5562,590,610,612
690,5561,591,613,613
1945,5561,591,613,614
1803,5538,592,615,615
1908,5507,593,616,616
1670,5505,594,617,617
998,5488,595,618,618
1924,5487,596,619,619
1466,5486,597,620,620
799,5485,598,621,621
420,5484,599,622,622
1580,5484,599,622,623
408,5482,600,624,624
1673,5476,601,625,625
91,5473,602,626,626
1548,5473,602,626,627
1018,5472,603,628,628
1671,5470,604,629,629
1784,5468,605,630,630
1392,5467,606,631,631
1934,5467,606,631,632
653,5460,607,633,633
68,5454,608,634,634
120,5441,609,635,635
1645,5440,610,636,636
1658,5433,611,637,637
1377,5429,612,638,638
389,5415,613,639,639
1294,5410,614,640,640
1998,5410,614,640,641
2036,5406,615,642,642
732,5405,616,643,643
1835,5405,616,643,644
1922,5399,617,645,645
722,5396,618,646,646
2065,5390,619,647,647
64,5381,620,648,648
1935,5380,621,649,649
1618,5377,622,650,650
52,5376,623,651,651
1954,5373,624,652,652
1681,5368,625,653,653
1369,5363,626,654,654
1682,5347,627,655,655
1188,5346,628,656,656
1807,5346,628,656,657
1184,5343,629,658,658
2041,5343,629,658,659
621,5337,630,660,660
1613,5332,631,661,661
107,5329,632,662,662
796,5326,633,663,663
819,5324,634,664,664
1997,5321,635,665,665
772,5309,636,666,666
502,5304,637,667,667
747,5304,637,667,668
1479,5301,638,669,669
476,5296,639,670,670
1654,5295,640,671,671
1763,5294,641,672,672
270,5265,642,673,673
487,5258,643,674,674
448,5257,644,675,675
498,5253,645,676,676
361,5249,646,677,677
445,5238,647,678,678
1736,5238,647,678,679
13,5237,648,680,680
894,5231,649,681,681
436,5228,650,682,682
823,5228,650,682,683
1233,5220,651,684,684
425,5210,652,685,685
121,5209,653,686,686
1621,5208,654,687,687
1549,5207,655,688,688
1653,5206,656,689,689
909,5204,657,690,690
1962,5204,657,690,691
865,5175,658,692,692
1254,5171,659,693,693
139,5163,660,694,694
842,5160,661,695,695
1171,5155,662,696,696
1845,5154,663,697,697
1936,5151,664,698,698
1756,5147,665,699,699
2025,5131,666,700,700
2,5130,667,701,701
104,5126,668,702,702
775,5121,669,703,703
2008,5098,670,704,704
832,5094,671,705,705
771,5093,672,706,706
1943,5087,673,707,707
990,5079,674,708,708
1371,5071,675,709,709
574,5070,676,710,710
987,5067,677,711,711
1597,5063,678,712,712
1150,5056,679,713,713
439,5055,680,714,714
1633,5042,681,715,715
1903,5033,682,716,716
103,5021,683,717,717
125,5010,684,718,718
240,5006,685,719,719
1025,5003,686,720,720
1956,5003,686,720,721
128,4999,687,722,722
1235,4998,688,723,723
1731,4978,689,724,724
1037,4969,690,725,725
1137,4968,691,726,726
1745,4968,691,726,727
161,4963,692,728,728
728,4960,693,729,729
1240,4950,694,730,730
178,4941,695,731,731
433,4941,695,731,732
500,4936,696,733,733
869,4936,696,733,734
1704,4930,697,735,735
916,4908,698,736,736
387,4907,699,737,737
2018,4907,699,737,738
1483,4900,700,739,739
350,4898,701,740,740
1507,4898,701,740,741
1309,4883,702,742,742
2009,4878,703,743,743
1622,4877,704,744,744
287,4876,705,745,745
1599,4876,705,745,746
450,4869,706,747,747
620,4859,707,748,748
1573,4855,708,749,749
707,4851,709,750,750
2046,4850,710,751,751
1542,4841,711,752,752
1052,4834,712,753,753
423,4821,713,754,754
550,4810,714,755,755
138,4809,715,756,756
606,4805,716,757,757
1509,4789,717,758,758
1886,4788,718,759,759
2027,4787,719,760,760
846,4779,720,761,761
1428,4779,720,761,762
1033,4777,721,763,763
872,4775,722,764,764
1870,4774,723,765,765
1940,4771,724,766,766
1481,4768,725,767,767
1158,4766,726,768,768
920,4765,727,769,769
1478,4759,728,770,770
390,4741,729,771,771
171,4739,730,772,772
475,4736,731,773,773
1668,4735,732,774,774
1113,4728,733,775,775
1387,4724,734,776,776
1615,4724,734,776,777
1586,4723,735,778,778
957,4721,736,779,779
600,4717,737,780,780
631,4707,738,781,781
1298,4695,739,782,782
1836,4684,740,783,783
446,4682,741,784,784
715,4680,742,785,785
949,4678,743,786,786
195,4668,744,787,787
1614,4663,745,788,788
1346,4661,746,789,789
469,4649,747,790,790
1853,4648,748,791,791
714,4647,749,792,792
1362,4639,750,793,793
1598,4639,750,793,794
1311,4627,751,795,795
1094,4621,752,796,796
1981,4617,753,797,797
1080,4615,754,798,798
1380,4614,755,799,799
975,4601,756,800,800
1489,4599,757,801,801
1503,4591,758,802,802
1667,4581,759,803,803
720,4577,760,804,804
60,4568,761,805,805
175,4559,762,806,806
536,4558,763,807,807
547,4556,764,808,808
388,4554,765,809,809
721,4553,766,810,810
1225,4541,767,811,811
1220,4539,768,812,812
1281,4538,769,813,813
903,4537,770,814,814
1322,4534,771,815,815
551,4523,772,816,816
526,4522,773,817,817
1101,4508,774,818,818
1757,4507,775,819,819
151,4505,776,820,820
1710,4502,777,821,821
1289,4490,778,822,822
527,4487,779,823,823
397,4485,780,824,824
437,4478,781,825,825
1195,4477,782,826,826
333,4465,783,827,827
250,4450,784,828,828
529,4449,785,829,829
1829,4448,786,830,830
972,4447,787,831,831
1285,4444,788,832,832
1980,4440,789,833,833
1995,4440,789,833,834
836,4434,790,835,835
269,4425,791,836,836
98,4424,792,837,837
1180,4422,793,838,838
1177,4420,794,839,839
2068,4404,795,840,840
859,4403,796,841,841
1707,4401,797,842,842
1439,4400,798,843,843
1909,4393,799,844,844
1612,4385,800,845,845
828,4382,801,846,846
804,4381,802,847,847
1009,4377,803,848,848
1662,4374,804,849,849
1477,4373,805,850,850
792,4364,806,851,851
308,4345,807,852,852
800,4342,808,853,853
793,4335,809,854,854
1976,4332,810,855,855
1212,4327,811,856,856
110,4325,812,857,857
1164,4323,813,858,858
1545,4320,814,859,859
208,4319,815,860,860
193,4317,816,861,861
100,4312,817,862,862
524,4306,818,863,863
618,4306,818,863,864
1114,4302,819,865,865
274,4298,820,866,866
956,4294,821,867,867
684,4286,822,868,868
1543,4285,823,869,869
1420,4284,824,870,870
1885,4284,824,870,871
1148,4272,825,872,872
611,4262,826,873,873
507,4260,827,874,874
791,4258,828,875,875
241,4257,829,876,876
885,4256,830,877,877
1350,4249,831,878,878
807,4244,832,879,879
1022,4240,833,880,880
650,4233,834,881,881
577,4230,835,882,882
1027,4227,836,883,883
129,4221,837,884,884
1809,4213,838,885,885
190,4200,839,886,886
1583,4198,840,887,887
518,4197,841,888,888
1881,4197,841,888,889
879,4194,842,890,890
15,4193,843,891,891
1787,4189,844,892,892
1669,4187,845,893,893
926,4171,846,894,894
1003,4163,847,895,895
1445,4162,848,896,896
72,4157,849,897,897
117,4152,850,898,898
1011,4148,851,899,899
1630,4148,851,899,900
1812,4127,852,901,901
1211,4115,853,902,902
2014,4108,854,903,903
1062,4107,855,904,904
1965,4105,856,905,905
1349,4103,857,906,906
659,4089,858,907,907
1574,4087,859,908,908
1537,4084,860,909,909
1402,4081,861,910,910
1396,4078,862,911,911
1794,4071,863,912,912
1552,4069,864,913,913
1619,4066,865,914,914
595,4051,866,915,915
855,4037,867,916,916
1501,4035,868,917,917
1140,4033,869,918,918
538,4031,870,919,919
709,4028,871,920,920
1046,4025,872,921,921
2053,4025,872,921,922
75,4014,873,923,923
942,4014,873,923,924
26,4011,874,925,925
57,4011,874,925,926
1774,4001,875,927,927
369,4000,876,928,928
1684,3989,877,929,929
1696,3986,878,930,930
455,3983,879,931,931
1916,3978,880,932,932
1992,3977,881,933,933
1449,3975,882,934,934
1860,3968,883,935,935
1083,3955,884,936,936
24,3944,885,937,937
1640,3936,886,938,938
330,3931,887,939,939
246,3929,888,940,940
340,3920,889,941,941
33,3919,890,942,942
1028,3917,891,943,943
1725,3907,892,944,944
1310,3904,893,945,945
1407,3904,893,945,946
1871,3902,894,947,947
593,3894,895,948,948
1890,3886,896,949,949
738,3875,897,950,950
1296,3867,898,951,951
1502,3838,899,952,952
806,3833,900,953,953
497,3816,901,954,954
277,3815,902,955,955
1852,3812,903,956,956
2054,3785,904,957,957
578,3780,905,958,958
861,3761,906,959,959
1249,3760,907,960,960
1646,3760,907,960,961
602,3755,908,962,962
1989,3748,909,963,963
1010,3743,910,964,964
847,3737,911,965,965
331,3730,912,966,966
1464,3722,913,967,967
744,3708,914,968,968
1782,3702,915,969,969
452,3697,916,970,970
1257,3692,917,971,971
1106,3691,918,972,972
249,3690,919,973,973
407,3688,920,974,974
652,3681,921,975,975
1480,3673,922,976,976
1358,3669,923,977,977
1097,3660,924,978,978
1458,3646,925,979,979
1002,3633,926,980,980
1411,3629,927,981,981
649,3622,928,982,982
964,3617,929,983,983
1207,3600,930,984,984
1173,3597,931,985,985
1834,3591,932,986,986
887,3580,933,987,987
1241,3579,934,988,988
1417,3578,935,989,989
267,3564,936,990,990
1340,3544,937,991,991
1864,3540,938,992,992
1778,3539,939,993,993
1694,3537,940,994,994
1647,3517,941,995,995
1291,3506,942,996,996
784,3505,943,997,997
1440,3500,944,998,998
1224,3491,945,999,999
364,3485,946,1000,1000
2019,3482,947,1001,1001
355,3479,948,1002,1002
1721,3477,949,1003,1003
7,3468,950,1004,1004
440,3464,951,1005,1005
192,3452,952,1006,1006
486,3452,952,1006,1007
995,3452,952,1006,1008
521,3448,953,1009,1009
669,3447,954,1010,1010
1751,3445,955,1011,1011
65,3441,956,1012,1012
1720,3433,957,1013,1013
854,3424,958,1014,1014
1314,3423,959,1015,1015
1438,3420,960,1016,1016
1475,3420,960,1016,1017
51,3419,961,1018,1018
584,3408,962,1019,1019
27,3407,963,1020,1020
1596,3407,963,1020,1021
90,3388,964,1022,1022
1802,3377,965,1023,1023
1085,3376,966,1024,1024
2007,3375,967,1025,1025
702,3348,968,1026,1026
214,3346,969,1027,1027
1299,3339,970,1028,1028
335,3319,971,1029,1029
1607,3312,972,1030,1030
395,3310,973,1031,1031
1687,3306,974,1032,1032
21,3298,975,1033,1033
1735,3295,976,1034,1034
925,3294,977,1035,1035
1447,3294,977,1035,1036
1143,3291,978,1037,1037
797,3280,979,1038,1038
379,3230,980,1039,1039
1415,3229,981,1040,1040
716,3221,982,1041,1041
316,3212,983,1042,1042
1617,3211,984,1043,1043
373,3210,985,1044,1044
197,3204,986,1045,1045
554,3202,987,1046,1046
1136,3201,988,1047,1047
1216,3196,989,1048,1048
1683,3195,990,1049,1049
1513,3180,991,1050,1050
1494,3172,992,1051,1051
888,3162,993,1052,1052
1471,3162,993,1052,1053
392,3161,994,1054,1054
813,3149,995,1055,1055
1798,3143,996,1056,1056
248,3140,997,1057,1057
1192,3131,998,1058,1058
1623,3117,999,1059,1059
510,3102,1000,1060,1060
239,3072,1001,1061,1061
334,3072,1001,1061,1062
1627,3069,1002,1063,1063
8,3068,1003,1064,1064
1996,3067,1004,1065,1065
1948,3065,1005,1066,1066
233,3058,1006,1067,1067
773,3057,1007,1068,1068
1771,3055,1008,1069,1069
667,3041,1009,1070,1070
97,3038,1010,1071,1071
231,3038,1010,1071,1072
515,3034,1011,1073,1073
1198,3033,1012,1074,1074
61,3022,1013,1075,1075
1394,2996,1014,1076,1076
1431,2996,1014,1076,1077
1269,2994,1015,1078,1078
1972,2991,1016,1079,1079
585,2983,1017,1080,1080
1115,2979,1018,1081,1081
2052,2977,1019,1082,1082
467,2976,1020,1083,1083
1709,2974,1021,1084,1084
900,2973,1022,1085,1085
960,2973,1022,1085,1086
1577,2972,1023,1087,1087
2060,2966,1024,1088,1088
31,2960,1025,1089,1089
134,2956,1026,1090,1090
1842,2956,1026,1090,1091
1409,2950,1027,1092,1092
177,2942,1028,1093,1093
1071,2942,1028,1093,1094
1200,2936,1029,1095,1095
1854,2936,1029,1095,1096
22,2935,1030,1097,1097
1893,2933,1031,1098,1098
1755,2932,1032,1099,1099
1701,2929,1033,1100,1100
137,2926,1034,1101,1101
16,2911,1035,1102,1102
338,2911,1035,1102,1103
5,2909,1036,1104,1104
1486,2909,1036,1104,1105
465,2904,1037,1106,1106
893,2899,1038,1107,1107
1969,2897,1039,1108,1108
143,2889,1040,1109,1109
560,2886,1041,1110,1110
647,2886,1041,1110,1111
1275,2875,1042,1112,1112
144,2871,1043,1113,1113
1952,2867,1044,1114,1114
1944,2863,1045,1115,1115
1729,2862,1046,1116,1116
105,2859,1047,1117,1117
1961,2858,1048,1118,1118
1875,2856,1049,1119,1119
1203,2853,1050,1120,1120
485,2851,1051,1121,1121
1152,2844,1052,1122,1122
1297,2838,1053,1123,1123
2010,2837,1054,1124,1124
657,2836,1055,1125,1125
155,2835,1056,1126,1126
1190,2827,1057,1127,1127
1060,2821,1058,1128,1128
705,2819,1059,1129,1129
874,2818,1060,1130,1130
1605,2814,1061,1131,1131
1001,2811,1062,1132,1132
1949,2810,1063,1133,1133
2048,2809,1064,1134,1134
1865,2804,1065,1135,1135
896,2800,1066,1136,1136
939,2799,1067,1137,1137
911,2795,1068,1138,1138
359,2794,1069,1139,1139
311,2793,1070,1140,1140
1135,2791,1071,1141,1141
399,2789,1072,1142,1142
1379,2785,1073,1143,1143
1657,2783,1074,1144,1144
802,2782,1075,1145,1145
1999,2782,1075,1145,1146
1238,2781,1076,1147,1147
927,2778,1077,1148,1148
150,2774,1078,1149,1149
675,2773,1079,1150,1150
579,2768,1080,1151,1151
1768,2766,1081,1152,1152
1752,2760,1082,1153,1153
752,2759,1083,1154,1154
252,2756,1084,1155,1155
1042,2743,1085,1156,1156
1234,2743,1085,1156,1157
1467,2742,1086,1158,1158
281,2741,1087,1159,1159
608,2741,1087,1159,1160
1221,2741,1087,1159,1161
1680,2728,1088,1162,1162
639,2725,1089,1163,1163
353,2723,1090,1164,1164
198,2720,1091,1165,1165
710,2720,1091,1165,1166
1764,2718,1092,1167,1167
494,2716,1093,1168,1168
221,2713,1094,1169,1169
328,2707,1095,1170,1170
